Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,93.218000,-85.353000,90.000000,top
C3,47p,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,95.241000,-108.966000,0.000000,top
C4,47p,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,95.241000,-115.824000,0.000000,top
C6,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,80.010000,-125.222000,0.000000,top
C8,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,128.524000,-137.160000,180.000000,top
C13,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,150.613000,-146.558000,180.000000,top
C14,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,101.346000,-101.346000,90.000000,top
C15,47pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,168.148000,-130.556000,270.000000,top
C21,12pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,90.179000,-144.018000,180.000000,top
C22,12pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,90.170000,-135.636000,180.000000,top
C31,0.01uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,118.364000,-143.510000,0.000000,top
C32,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,107.451000,-144.018000,180.000000,top
C34,47pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,132.842000,-111.506000,90.000000,top
C35,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,135.382000,-111.506000,90.000000,top
C36,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,185.166000,-77.978000,90.000000,top
D1,LED_USB,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,90.678000,-125.222000,180.000000,top
D8,LED_12V,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,97.536000,-93.980000,0.000000,top
D9,LED_5VD,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,92.465000,-80.772000,0.000000,top
D10,LED_5VA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,140.462000,-128.016000,0.000000,top
D11,LED_HEARTBEAT,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,92.456000,-149.098000,0.000000,top
D13,LED_ALARM,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,134.874000,-75.946000,180.000000,top
D15,LED_SPARE_OUT,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,163.322000,-59.944000,0.000000,top
D16,LED_PTT,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,152.400000,-93.726000,270.000000,top
D17,LED_WDOG,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,152.400000,-98.552000,270.000000,top
D18,LED_PL,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,146.304000,-106.680000,180.000000,top
D19,LED_COS,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,130.302000,-111.515000,90.000000,top
D20,LED_FS,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,183.642000,-72.898000,180.000000,top
D21,LED_TI,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,183.642000,-95.758000,0.000000,top
D22,LED_SD,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,183.642000,-106.426000,0.000000,top
D23,LED_SI,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,183.642000,-99.822000,0.000000,top
Q2,2N7002,SOT-23,106.426000,-148.336000,0.000000,top
Q3,2N7002,SOT-23,134.874000,-80.264000,90.000000,top
Q4,2N7002,SOT-23,149.098000,-96.266000,0.000000,top
Q5,2N7002,SOT-23,161.544000,-93.980000,0.000000,top
Q6,2N7002,SOT-23,159.258000,-98.552000,0.000000,top
R1,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,86.868000,-124.206000,90.000000,top
R2,22,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,95.250000,-111.252000,180.000000,top
R3,22,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,95.250000,-113.538000,180.000000,top
R6,1.5K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,106.426000,-119.380000,180.000000,top
R7,0,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,95.250000,-130.810000,180.000000,top
R8,0,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,100.330000,-137.922000,270.000000,top
R9,0,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,112.014000,-138.938000,0.000000,top
R10,75K 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,108.204000,-105.410000,180.000000,top
R11,10K 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,103.886000,-105.410000,180.000000,top
R12,1M,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,180.721000,-133.477000,180.000000,top
R13,2.2K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,100.584000,-97.282000,180.000000,top
R14,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,95.504000,-85.353000,90.000000,top
R16,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,140.462000,-130.302000,180.000000,top
R17,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,97.037000,-149.098000,180.000000,top
R18,4.7K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,101.092000,-149.098000,180.000000,top
R19,4.7K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,116.586000,-108.712000,180.000000,top
R20,1M,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,118.373000,-146.304000,0.000000,top
R21,4.7K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,118.364000,-149.098000,180.000000,top
R22,2.2K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,130.556000,-73.914000,270.000000,top
R23,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,163.322000,-62.230000,180.000000,top
R24,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,185.674000,-67.310000,90.000000,top
R25,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,187.452000,-56.134000,180.000000,top
R26,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,146.295000,-109.474000,0.000000,top
R27,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,154.940000,-98.543000,270.000000,top
R28,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,146.304000,-112.522000,180.000000,top
R29,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,164.465000,-91.186000,180.000000,top
R30,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,163.313000,-73.660000,0.000000,top
R31,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,164.084000,-81.534000,270.000000,top
R32,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,149.098000,-92.710000,0.000000,top
R33,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,127.762000,-111.515000,90.000000,top
R34,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,180.340000,-73.914000,270.000000,top
R35,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,180.340000,-94.234000,90.000000,top
R36,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,173.092000,-113.284000,180.000000,top
R37,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,164.474000,-101.346000,180.000000,top
R38,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160.528000,-112.776000,180.000000,top
R39,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,168.538000,-68.834000,180.000000,top
R40,0,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,163.576000,-98.543000,90.000000,top
R41,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,182.626000,-76.454000,90.000000,top
R42,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,183.642000,-93.218000,0.000000,top
R43,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,183.642000,-103.124000,0.000000,top
R44,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,186.563000,-94.742000,270.000000,top
R45,22,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,154.940000,-112.776000,180.000000,top
R46,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,129.286000,-96.266000,90.000000,top
U2,LM386,SO-8_3.9x4.9mm_P1.27mm,149.860000,-133.096000,270.000000,top
U15,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,182.626000,-85.598000,0.000000,top
